,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Berlevåg,70.86,29.09,50.0,66,64,23.04,NO,1591991156
1,Ushuaia,-54.8,-68.3,33.8,86,75,24.16,AR,1591991156
2,Rikitea,-23.12,-134.97,75.6,80,11,19.93,PF,1591991156
3,Mar del Plata,-38.0,-57.56,62.6,45,11,10.29,AR,1591990823
4,Mataura,-46.19,168.86,39.0,90,27,5.01,NZ,1591991157
5,Grand Gaube,-20.01,57.66,70.0,84,1,3.0,MU,1591990821
6,Corrales,35.24,-106.61,89.01,34,5,5.99,US,1591991157
7,San Cristobal,7.77,-72.22,89.6,55,40,11.41,VE,1591990839
8,Hermanus,-34.42,19.23,53.01,76,85,12.26,ZA,1591991157
9,Bambous Virieux,-20.34,57.76,70.0,88,75,8.05,MU,1591990815
10,Sandovo,58.46,36.41,52.43,75,15,7.0,RU,1591991157
11,Novonukutskiy,53.7,102.71,48.2,84,0,3.6,RU,1591991157
12,Petropavlovskoye,52.07,84.11,57.85,84,0,6.02,RU,1591991157
13,Vaini,-21.2,-175.2,69.8,68,40,11.41,TO,1591991157
14,Vestmanna,62.16,-7.17,48.2,81,12,5.82,FO,1591990839
15,Saldanha,-33.01,17.94,48.2,87,0,1.12,ZA,1591991157
16,Esna,25.29,32.55,95.0,21,0,4.7,EG,1591990813
17,Tamiahua,21.27,-97.45,83.39,69,10,17.52,MX,1591991157
18,Korčula,42.96,17.14,68.4,76,48,9.4,HR,1591991158
19,Esim,4.87,-2.24,78.8,86,81,13.13,GH,1591991158
20,Port Elizabeth,-33.92,25.57,53.6,58,0,10.29,ZA,1591990811
21,Ciudad Bolivar,8.12,-63.55,95.74,34,88,4.56,VE,1591990841
22,Bluff,-46.6,168.33,39.0,90,34,5.01,NZ,1591991158
23,Albany,42.6,-73.97,79.0,40,81,12.62,US,1591991158
24,Mahébourg,-20.41,57.7,69.8,88,75,8.05,MU,1591991158
25,Havelock,34.88,-76.9,77.0,83,90,3.36,US,1591990887
26,Bonga,7.28,36.23,58.87,90,100,1.05,ET,1591991159
27,Khatanga,71.97,102.5,39.36,71,98,7.7,RU,1591991159
28,Rūdbār,30.15,62.6,81.34,15,0,9.37,AF,1591991159
29,Moyo,3.66,31.72,67.87,94,100,0.56,UG,1591991159
30,Buraidah,26.33,43.98,93.2,18,0,9.17,SA,1591990816
31,Bubaque,11.28,-15.83,81.93,80,2,9.6,GW,1591991159
32,Lagoa,39.05,-27.98,63.93,81,100,10.31,PT,1591991159
33,Kapaa,22.08,-159.32,81.0,69,90,16.11,US,1591991159
34,Saint-Philippe,-21.36,55.77,71.6,60,75,5.82,RE,1591991159
35,Provideniya,64.38,-173.3,51.22,62,2,4.56,RU,1591991159
36,Deputatsky,69.3,139.9,56.03,65,83,3.33,RU,1591990849
37,Mīnāb,27.15,57.08,91.4,70,0,9.17,IR,1591991160
38,Clyde River,70.47,-68.59,32.0,94,75,13.87,CA,1591990826
39,Hong Kong,22.29,114.16,82.0,83,95,12.35,HK,1591990911
40,Kaitangata,-46.28,169.85,41.0,74,0,7.52,NZ,1591991160
41,Iqaluit,63.75,-68.51,44.6,52,75,16.11,CA,1591991094
42,Leningradskiy,69.38,178.42,49.59,71,100,8.46,RU,1591991160
43,Srednekolymsk,67.45,153.68,62.8,53,87,10.18,RU,1591990812
44,Amapá,1.0,-52.0,79.34,95,96,2.89,BR,1591990841
45,Makakilo City,21.35,-158.09,82.4,54,40,6.93,US,1591991160
46,Puerto Ayora,-0.74,-90.35,80.6,61,20,25.28,EC,1591990816
47,Cabo San Lucas,22.89,-109.91,91.4,31,5,12.75,MX,1591990823
48,Jamestown,42.1,-79.24,64.99,55,20,16.11,US,1591991161
49,Barrow,71.29,-156.79,37.4,65,75,8.05,US,1591991101
50,Port Alfred,-33.59,26.89,55.99,66,1,5.99,ZA,1591990814
51,Bethel,41.37,-73.41,82.99,36,40,13.87,US,1591991161
52,Jiazi,22.88,116.07,81.18,89,35,9.1,CN,1591991161
53,Lubango,-14.92,13.49,55.35,37,0,2.46,AO,1591991161
54,Yellowknife,62.46,-114.35,60.8,59,75,9.17,CA,1591991161
55,Saint Paul Harbor,57.79,-152.41,55.4,66,90,5.82,US,1591991161
56,São João da Barra,-21.64,-41.05,89.6,46,1,4.7,BR,1591990823
57,Punta Arenas,-53.15,-70.92,37.4,64,40,17.22,CL,1591990642
58,Castro,-24.79,-50.01,68.79,76,6,5.64,BR,1591991073
59,Cherskiy,68.75,161.3,63.88,52,100,11.27,RU,1591991162
60,Atlantic City,39.36,-74.42,86.0,30,1,9.17,US,1591991152
61,Saskylakh,71.92,114.08,41.43,68,58,10.45,RU,1591991162
62,Tuktoyaktuk,69.45,-133.04,51.8,62,75,11.41,CA,1591991162
63,Lompoc,34.64,-120.46,64.99,68,0,10.29,US,1591991162
64,Bulolo,-7.2,146.65,68.22,77,8,1.48,PG,1591991162
65,Cape Town,-33.93,18.42,54.0,87,75,8.05,ZA,1591990681
66,Bereda,43.27,-7.54,54.0,99,61,5.01,ES,1591991162
68,Nemuro,43.32,145.57,56.37,71,0,17.72,JP,1591991162
69,George Town,5.41,100.34,78.8,94,20,3.36,MY,1591991121
70,Ashland,40.82,-82.27,78.8,36,1,9.17,US,1591990843
71,Arraial do Cabo,-22.97,-42.03,80.6,78,0,5.82,BR,1591990813
72,Sobolevo,54.43,31.9,64.4,97,40,13.49,RU,1591991163
73,Egvekinot,66.32,-179.17,45.81,58,100,6.11,RU,1591990850
74,Bilibino,68.05,166.44,61.72,60,100,4.12,RU,1591991163
75,Souillac,-20.52,57.52,69.8,88,75,8.05,MU,1591991163
76,Sorsk,54.0,90.25,53.83,84,50,3.51,RU,1591991163
77,Atuona,-9.8,-139.03,81.0,79,11,23.15,PF,1591991163
78,Butaritari,3.07,172.79,82.13,78,36,14.27,KI,1591991163
79,Yekaterinoslavka,50.37,129.11,53.1,81,5,1.61,RU,1591991163
80,Lüderitz,-26.65,15.16,62.6,29,0,6.93,NA,1591991163
81,Longyearbyen,78.22,15.64,39.2,80,75,25.28,SJ,1591991016
82,Vanimo,-2.67,141.3,77.9,84,35,5.93,PG,1591990828
83,Cockburn Town,21.46,-71.14,82.4,74,40,8.05,TC,1591991164
84,Mpanda,-6.37,31.04,71.91,60,99,1.39,TZ,1591991164
85,Vila Franca do Campo,37.72,-25.43,66.2,77,40,11.41,PT,1591990817
86,Sananduva,-27.95,-51.81,70.61,84,0,6.76,BR,1591991164
87,Cotonou,6.37,2.42,80.6,74,20,9.17,BJ,1591991164
88,Sabha,27.04,14.43,97.03,11,0,13.27,LY,1591991164
89,Acarí,-15.43,-74.62,69.26,60,59,8.77,PE,1591991164
90,Bredasdorp,-34.53,20.04,53.6,66,53,8.16,ZA,1591991164
91,Kaeo,-35.1,173.78,44.01,99,63,5.01,NZ,1591991164
92,High Rock,26.62,-78.28,80.6,83,75,6.93,BS,1591991164
93,Hilo,19.73,-155.09,78.8,69,90,5.82,US,1591990946
94,Abu Samrah,35.3,37.18,67.59,62,0,20.69,SY,1591991164
95,Dikson,73.51,80.55,32.97,95,33,6.69,RU,1591991164
96,Busselton,-33.65,115.33,50.0,79,40,10.65,AU,1591991164
97,Kruisfontein,-34.0,24.73,49.1,59,0,9.19,ZA,1591991164
98,Riyadh,24.69,46.72,96.8,16,0,3.36,SA,1591990716
99,Bandarbeyla,9.49,50.81,82.24,69,97,31.85,SO,1591990838
100,Tahe,52.33,124.73,49.51,65,0,3.4,CN,1591991165
102,Scarborough,54.28,-0.4,53.01,96,100,1.01,GB,1591990870
104,Taltal,-25.4,-70.48,65.19,59,20,4.68,CL,1591991165
105,Talnakh,69.49,88.4,39.2,71,3,13.42,RU,1591991165
106,Port Hardy,50.7,-127.42,51.8,93,75,3.36,CA,1591990789
107,Khorixas,-20.37,14.97,58.06,35,0,14.7,NA,1591991165
108,Renigunta,13.65,79.52,81.61,61,90,3.29,IN,1591991165
109,Geraldton,-28.77,114.6,53.6,76,90,9.17,AU,1591991165
110,Manado,1.49,124.85,77.0,94,20,1.12,ID,1591991165
111,Province of Groningen,53.25,6.75,72.0,68,100,10.29,NL,1591991098
112,Bobrovka,54.05,61.75,65.79,76,88,6.78,RU,1591991166
113,Yar-Sale,66.83,70.83,42.85,64,30,15.08,RU,1591990831
114,Den Helder,52.96,4.76,66.99,77,75,12.75,NL,1591991166
115,Husavik,66.04,-17.34,59.0,51,20,19.46,IS,1591991166
116,Iranshahr,27.2,60.68,102.2,13,0,9.17,IR,1591991166
117,Hamilton,39.18,-84.53,84.99,26,40,11.41,US,1591991166
118,Ancud,-41.87,-73.82,48.0,70,20,8.05,CL,1591991166
119,Chake Chake,-5.25,39.77,75.87,80,0,10.02,TZ,1591991166
120,Aketi,2.74,23.78,73.04,87,14,1.25,CD,1591991166
121,Tonj,7.27,28.68,76.17,74,15,4.81,SS,1591991167
122,Carnarvon,-24.87,113.63,63.63,70,24,22.19,AU,1591991167
123,Severo-Kuril'sk,50.68,156.12,42.12,93,100,22.77,RU,1591991167
124,Nanzhou,29.36,112.4,77.54,96,100,7.23,CN,1591991167
125,Honolulu,21.31,-157.86,84.2,51,75,21.92,US,1591990882
126,Beloha,-25.17,45.05,61.88,87,0,2.19,MG,1591991167
127,Faanui,-16.48,-151.75,80.65,81,51,9.73,PF,1591991167
128,Hobart,-42.88,147.33,44.01,93,40,5.82,AU,1591990975
129,Port Keats,-14.25,129.55,71.74,58,0,7.67,AU,1591991167
130,Serebryanyy Bor,56.8,124.8,46.56,69,0,2.75,RU,1591991167
131,Srandakan,-7.94,110.25,73.58,89,39,3.94,ID,1591990847
132,Sitka,57.05,-135.33,55.4,76,75,4.7,US,1591991168
133,Bogandé,12.97,-0.14,89.83,48,100,11.21,BF,1591991168
134,Lorengau,-2.02,147.27,82.17,77,17,7.54,PG,1591991168
135,Chulym,55.1,80.96,62.29,79,22,10.89,RU,1591991168
136,Panglao,9.58,123.75,82.54,76,100,7.05,PH,1591991168
137,Chui,-33.7,-53.46,65.34,84,44,5.17,UY,1591991168
138,Qaanaaq,77.48,-69.36,35.2,86,29,3.04,GL,1591991168
139,Impfondo,1.64,18.07,72.61,92,9,3.02,CG,1591991168
140,Lebedinyy,58.52,125.52,49.87,63,4,5.26,RU,1591991168
142,Iralaya,15.0,-83.23,84.2,79,75,12.75,HN,1591991168
143,Klaksvík,62.23,-6.59,48.2,81,15,5.82,FO,1591990817
144,Lilongwe,-13.97,33.79,65.55,56,72,2.51,MW,1591991168
145,Touros,-5.2,-35.46,82.4,69,20,10.29,BR,1591991055
146,Sovetskaya Gavan',48.97,140.29,52.9,68,100,6.49,RU,1591991169
147,Labuan,5.28,115.24,80.6,94,75,6.67,MY,1591991156
148,Kumul,42.8,93.45,69.53,23,23,6.38,CN,1591991169
149,Menongue,-14.66,17.69,56.12,44,2,5.97,AO,1591991169
150,Banda Aceh,5.56,95.32,80.91,77,92,6.96,ID,1591990598
151,Khani,41.96,42.96,68.0,94,75,6.93,GE,1591991169
152,Micheweni,-4.97,39.83,76.93,79,0,11.74,TZ,1591991169
153,Nome,64.5,-165.41,39.2,93,90,5.82,US,1591990819
154,Vågåmo,61.88,9.1,62.15,48,14,8.43,NO,1591991169
155,Kharakvasla,18.43,73.77,75.92,81,100,3.2,IN,1591991169
156,Pochutla,15.74,-96.47,93.0,55,20,11.41,MX,1591991169
157,Chokurdakh,70.63,147.92,54.84,71,100,5.55,RU,1591991169
158,Palora,-1.7,-77.93,78.8,74,34,8.05,EC,1591991169
160,Comodoro Rivadavia,-45.87,-67.5,39.2,51,40,12.75,AR,1591990831
161,Zlobin,45.29,14.65,68.0,72,42,4.7,HR,1591990844
162,Lebu,-37.62,-73.65,51.75,70,26,9.04,CL,1591991170
163,Cap-aux-Meules,47.38,-61.86,57.2,93,90,17.22,CA,1591990824
164,Lavrentiya,65.58,-171.0,43.92,77,21,5.39,RU,1591991170
165,East London,-33.02,27.91,58.69,45,0,18.19,ZA,1591990828
166,Chicama,-7.84,-79.15,72.84,60,23,10.74,PE,1591991170
168,Avarua,-21.21,-159.78,75.2,64,44,6.93,CK,1591991170
169,San Jerónimo,-11.95,-75.28,63.45,38,32,2.64,PE,1591990825
170,Asău,46.43,26.4,66.0,79,89,3.98,RO,1591990839
171,Urusha,54.05,122.9,47.3,89,75,2.98,RU,1591991170
172,Enniskerry,53.19,-6.17,54.0,96,100,1.99,IE,1591991171
173,Lensk,60.73,114.93,48.87,90,98,11.16,RU,1591991171
174,Taoyuan,32.3,120.62,79.0,93,97,3.42,CN,1591991121
175,Saint Anthony,45.02,-93.22,77.0,46,20,10.29,US,1591990827
176,Dunedin,-45.87,170.5,45.0,74,0,6.69,NZ,1591990976
177,Kuzedeyevo,53.33,87.2,55.2,92,0,2.59,RU,1591991171
178,Nanortalik,60.14,-45.24,40.17,89,100,19.19,GL,1591991171
179,Kupang,-10.17,123.58,77.59,84,98,8.68,ID,1591991171
180,Port Hedland,-20.32,118.57,64.4,77,84,4.09,AU,1591990818
181,Guerrero Negro,27.98,-114.06,81.39,31,0,17.36,MX,1591990827
182,Ha Giang,22.83,104.98,80.02,81,100,1.83,VN,1591991171
185,Porto-Novo,6.5,2.6,80.6,74,20,9.17,BJ,1591990822
186,Kenmare,51.88,-9.58,58.91,84,68,5.86,IE,1591991171
187,Fonte Boa,-2.5,-66.27,82.53,70,59,3.91,BR,1591991171
188,Hofn,64.25,-15.21,50.0,87,75,17.22,IS,1591991171
189,Upernavik,72.79,-56.15,32.67,94,0,3.11,GL,1591991172
190,Bognor Regis,50.78,-0.68,62.01,95,69,10.38,GB,1591990874
191,Vila Velha,-20.33,-40.29,84.2,66,0,10.29,BR,1591991172
192,Coquimbo,-29.95,-71.34,66.2,48,0,10.29,CL,1591991172
193,Emerald,-23.53,148.17,62.6,93,90,4.7,AU,1591991172
194,Tasiilaq,65.61,-37.64,39.2,80,20,13.87,GL,1591991172
195,Yerbogachën,61.28,108.01,42.46,84,66,8.21,RU,1591990826
196,Torbat-e Jām,35.24,60.62,74.26,19,0,5.73,IR,1591991172
197,Thunder Bay,48.4,-89.32,59.0,38,75,8.05,CA,1591991114
198,Batagay,67.63,134.63,59.23,53,17,6.26,RU,1591991172
199,Thinadhoo,0.53,72.93,84.33,71,4,8.43,MV,1591990844
200,Los Llanos de Aridane,28.66,-17.92,71.6,64,20,6.93,ES,1591991172
201,Vila,42.03,-8.16,54.0,90,56,7.0,PT,1591991172
202,Kushiro,42.98,144.37,57.88,73,0,7.7,JP,1591991173
203,Chapais,49.78,-74.85,46.4,67,90,8.05,CA,1591991173
204,Nikolskoye,59.7,30.79,64.4,39,49,8.95,RU,1591991173
205,Igarka,67.47,86.58,40.44,72,0,8.9,RU,1591991173
206,Hithadhoo,-0.6,73.08,84.79,70,97,7.74,MV,1591991173
207,Nova Odesa,47.31,31.79,67.8,82,100,6.82,UA,1591991173
208,Inuvik,68.35,-133.72,68.0,22,40,10.29,CA,1591991173
209,Tautira,-17.73,-149.15,84.2,70,40,11.41,PF,1591991173
210,Ostrovnoy,68.05,39.51,47.03,72,99,8.7,RU,1591991173
211,Torbay,47.67,-52.73,69.8,37,40,13.87,CA,1591991085
212,Sanghar,26.05,68.95,89.6,70,2,16.11,PK,1591991173
213,Korla,41.76,86.15,71.91,22,73,13.51,CN,1591991173
214,Makkah al Mukarramah,21.43,39.83,90.03,33,0,4.54,SA,1591991003
215,Casper,42.87,-106.31,86.0,12,1,10.29,US,1591991136
216,Olafsvik,64.89,-23.71,41.68,91,100,17.34,IS,1591991174
217,Goderich,43.75,-81.72,54.0,74,0,9.06,CA,1591991174
218,Donegal,54.65,-8.12,62.6,67,100,11.41,IE,1591991174
219,Marsh Harbour,26.54,-77.06,79.34,75,45,15.26,BS,1591990831
220,Plainview,40.78,-73.47,84.99,32,1,5.82,US,1591991174
221,Altea,38.6,-0.05,75.0,56,28,5.93,ES,1591991174
222,Araceli,10.55,119.99,84.29,76,100,13.53,PH,1591991174
223,Juradó,7.11,-77.76,83.5,69,79,7.67,CO,1591991174
224,Ponta do Sol,32.67,-17.1,69.8,73,40,8.05,PT,1591990829
225,Martapura,-3.42,114.85,76.48,89,92,1.77,ID,1591991174
226,Huanren,41.26,125.37,57.52,91,1,2.89,CN,1591991174
227,Hongjiang,27.11,110.0,77.61,82,100,3.11,CN,1591991175
228,Kavaratti,10.57,72.64,85.1,75,100,17.45,IN,1591991115
229,Kavieng,-2.57,150.8,81.84,78,12,8.95,PG,1591991175
230,Nautanwa,27.43,83.42,85.78,67,33,8.97,IN,1591991175
231,Kiryat Gat,31.61,34.76,77.0,55,0,1.01,IL,1591990848
232,Zaysan,47.47,84.87,62.82,40,2,6.26,KZ,1591990842
233,Abu Kamal,34.45,40.92,79.68,27,0,18.63,SY,1591990846
234,Jiayuguan City,39.82,98.3,59.83,30,72,4.72,CN,1591991175
235,Pisco,-13.7,-76.22,68.0,77,0,10.29,PE,1591991109
236,Fare,-16.7,-151.02,81.75,79,55,11.83,PF,1591991175
237,Kapit,2.02,112.93,75.45,94,100,0.31,MY,1591991175
238,Kaduqli,11.02,29.72,87.3,46,9,2.37,SD,1591991176
239,Gazojak,41.19,61.4,85.57,13,0,8.52,TM,1591991176
240,Sisimiut,66.94,-53.67,46.0,53,23,10.0,GL,1591991176
241,Inírida,3.87,-67.92,84.49,77,59,1.25,CO,1591991176
242,Dukat,62.55,155.55,48.81,70,100,8.99,RU,1591991176
243,Laguna,38.42,-121.42,73.4,40,1,13.87,US,1591991115
244,Mount Isa,-20.73,139.5,51.8,76,0,3.24,AU,1591990942
245,Pingshan,22.99,114.71,78.26,87,81,3.06,CN,1591991176
246,Angoche,-16.23,39.91,73.02,74,0,5.93,MZ,1591991176
247,Murwāra,23.85,80.4,91.04,44,52,3.47,IN,1591991176
248,Bahile,10.0,118.79,79.65,84,97,6.91,PH,1591991176
249,Arvika,59.66,12.59,72.0,24,100,11.41,SE,1591991176
250,Gornyak,50.99,81.47,60.76,68,0,4.0,RU,1591991176
251,Beipiao,41.79,120.78,69.08,59,92,4.59,CN,1591991176
252,Chālūs,36.66,51.42,78.8,83,75,2.24,IR,1591991177
253,Blyth,55.13,-1.51,51.8,93,100,9.17,GB,1591991177
254,Puerto del Rosario,28.5,-13.86,73.4,53,20,18.34,ES,1591991177
255,La Palma,33.85,-118.05,80.01,50,1,5.82,US,1591991177
256,Tuatapere,-46.13,167.68,39.0,90,42,5.01,NZ,1591991177
257,Kulevcha,46.03,29.94,67.66,82,100,4.83,UA,1591991177
258,Cayenne,4.93,-52.33,86.0,70,20,10.29,GF,1591991177
259,Kargasok,59.06,80.86,60.8,89,95,8.97,RU,1591991177
260,Stephenville,32.22,-98.2,89.6,24,1,6.93,US,1591990938
261,Anadyr,64.75,177.48,55.4,47,20,13.42,RU,1591991177
262,Pevek,69.7,170.31,43.52,77,82,1.19,RU,1591991177
263,Mossamedes,-15.2,12.15,66.72,72,0,6.46,AO,1591991178
264,Kieta,-6.22,155.63,79.03,75,98,3.04,PG,1591990833
265,Karratha,-20.74,116.85,74.08,44,81,5.79,AU,1591991178
266,Bengkulu,-3.8,102.27,75.69,89,100,4.83,ID,1591991178
268,Margate,51.38,1.39,63.0,87,78,1.99,GB,1591991178
270,Potiskum,11.71,11.07,84.54,53,23,12.84,NG,1591991178
271,Labytnangi,66.66,66.42,43.57,68,76,13.15,RU,1591991178
272,Severnyy,50.68,36.55,73.4,60,0,6.71,RU,1591991178
273,Sakakah,29.97,40.21,84.2,12,0,11.41,SA,1591991178
274,Lagunas,-5.23,-75.68,94.1,38,11,1.5,PE,1591990846
275,Ust-Tsilma,65.44,52.15,38.41,84,53,6.8,RU,1591990820
276,Arosa,46.78,9.68,48.2,81,0,9.17,CH,1591991178
277,Baoro,5.67,15.97,68.63,91,98,2.15,CF,1591991179
278,New Norfolk,-42.78,147.06,43.0,88,99,2.19,AU,1591990813
282,Luís Correia,-2.88,-41.67,82.71,80,98,7.87,BR,1591991179
283,Saint-Leu,-21.15,55.28,71.6,60,75,5.82,RE,1591991179
284,Saint-Louis,16.33,-15.0,98.6,32,57,6.93,SN,1591991179
285,Uptar,59.75,150.92,45.54,85,98,3.87,RU,1591991179
286,Kanniyākumāri,8.08,77.57,80.92,79,100,14.81,IN,1591991180
287,Pirovskoye,57.63,92.27,59.07,90,56,9.01,RU,1591991180
288,Ji’an,27.12,114.98,76.68,84,16,7.11,CN,1591991180
289,Saint George,37.1,-113.58,99.0,8,1,6.93,US,1591990530
290,Kondinskoye,59.65,67.41,52.59,89,100,10.96,RU,1591991180
291,Laela,-8.57,32.05,59.16,68,3,5.14,TZ,1591991180
292,Ereymentau,51.62,73.1,65.79,59,0,9.48,KZ,1591991180
293,Yenagoa,4.92,6.26,75.42,96,100,3.29,NG,1591991180
294,Bay Roberts,47.6,-53.26,69.8,37,40,13.87,CA,1591991180
295,Viedma,-40.81,-63.0,52.11,47,11,17.05,AR,1591990814
296,Aklavik,68.22,-135.01,62.6,45,75,6.93,CA,1591991180
297,Santa Fe,-31.63,-60.7,69.01,64,99,5.01,AR,1591990958
298,Tashtyp,52.79,89.9,54.39,79,0,3.42,RU,1591991180
299,Dingle,11.0,122.67,77.2,84,90,1.88,PH,1591991181
300,Kongolo,-5.38,27.0,78.64,55,77,0.92,CD,1591991181
301,Coventry,52.41,-1.51,60.01,93,90,9.17,GB,1591991063
